data_curva,dias_uteis,taxa_252
01/10/2025,10820.0,13.22
01/10/2025,12738.0,13.2
01/12/2025,1.0,14.9
01/12/2025,7.0,14.9
01/12/2025,11.0,14.9
01/12/2025,14.0,14.9
01/12/2025,15.0,14.9
01/12/2025,16.0,14.9
01/12/2025,17.0,14.9
01/12/2025,18.0,14.9
01/12/2025,21.0,14.9
01/12/2025,22.0,14.9
01/12/2025,25.0,14.9
01/12/2025,28.0,14.9
01/12/2025,29.0,14.9
01/12/2025,30.0,14.9
01/12/2025,32.0,14.9
01/12/2025,44.0,14.9
01/12/2025,45.0,14.9
01/12/2025,46.0,14.9
01/12/2025,49.0,14.9
01/12/2025,50.0,14.9
01/12/2025,51.0,14.89
01/12/2025,52.0,14.89
01/12/2025,58.0,14.89
01/12/2025,59.0,14.89
01/12/2025,60.0,14.89
01/12/2025,63.0,14.89
01/12/2025,79.0,14.86
01/12/2025,80.0,14.86
01/12/2025,81.0,14.86
01/12/2025,86.0,14.85
01/12/2025,87.0,14.85
01/12/2025,88.0,14.85
01/12/2025,91.0,14.85
01/12/2025,105.0,14.81
01/12/2025,106.0,14.81
01/12/2025,107.0,14.8
01/12/2025,108.0,14.8
01/12/2025,109.0,14.8
01/12/2025,112.0,14.8
01/12/2025,120.0,14.78
01/12/2025,121.0,14.78
01/12/2025,134.0,14.74
01/12/2025,135.0,14.73
01/12/2025,136.0,14.73
01/12/2025,144.0,14.71
01/12/2025,148.0,14.7
01/12/2025,150.0,14.69
01/12/2025,154.0,14.69
01/12/2025,163.0,14.64
01/12/2025,165.0,14.62
01/12/2025,171.0,14.59
01/12/2025,179.0,14.56
01/12/2025,182.0,14.55
01/12/2025,198.0,14.48
01/12/2025,199.0,14.47
01/12/2025,200.0,14.47
01/12/2025,207.0,14.44
01/12/2025,210.0,14.43
01/12/2025,211.0,14.43
01/12/2025,212.0,14.42
01/12/2025,226.0,14.36
01/12/2025,234.0,14.32
01/12/2025,240.0,14.3
01/12/2025,241.0,14.29
01/12/2025,242.0,14.29
01/12/2025,245.0,14.28
01/12/2025,254.0,14.23
01/12/2025,259.0,14.21
01/12/2025,269.0,14.16
01/12/2025,270.0,14.15
01/12/2025,273.0,14.15
01/12/2025,274.0,14.14
01/12/2025,288.0,14.08
01/12/2025,289.0,14.07
01/12/2025,295.0,14.04
01/12/2025,301.0,14.02
01/12/2025,303.0,14.0
01/12/2025,304.0,14.0
01/12/2025,317.0,13.94
01/12/2025,319.0,13.93
01/12/2025,330.0,13.88
01/12/2025,331.0,13.87
01/12/2025,333.0,13.86
01/12/2025,337.0,13.86
01/12/2025,350.0,13.8
01/12/2025,352.0,13.79
01/12/2025,353.0,13.78
01/12/2025,360.0,13.76
01/12/2025,364.0,13.75
01/12/2025,365.0,13.74
01/12/2025,380.0,13.68
01/12/2025,382.0,13.66
01/12/2025,392.0,13.64
01/12/2025,394.0,13.63
01/12/2025,399.0,13.62
01/12/2025,410.0,13.57
01/12/2025,420.0,13.54
01/12/2025,424.0,13.52
01/12/2025,441.0,13.48
01/12/2025,442.0,13.47
01/12/2025,443.0,13.47
01/12/2025,450.0,13.45
01/12/2025,452.0,13.44
01/12/2025,469.0,13.4
01/12/2025,483.0,13.36
01/12/2025,485.0,13.36
01/12/2025,486.0,13.35
01/12/2025,499.0,13.31
01/12/2025,511.0,13.29
01/12/2025,532.0,13.23
01/12/2025,540.0,13.21
01/12/2025,562.0,13.16
01/12/2025,570.0,13.14
01/12/2025,577.0,13.13
01/12/2025,602.0,13.08
01/12/2025,609.0,13.07
01/12/2025,623.0,13.04
01/12/2025,625.0,13.03
01/12/2025,630.0,13.03
01/12/2025,653.0,12.99
01/12/2025,660.0,12.98
01/12/2025,669.0,12.96
01/12/2025,681.0,12.95
01/12/2025,690.0,12.93
01/12/2025,715.0,12.91
01/12/2025,721.0,12.9
01/12/2025,744.0,12.87
01/12/2025,750.0,12.86
01/12/2025,763.0,12.85
01/12/2025,780.0,12.83
01/12/2025,806.0,12.82
01/12/2025,812.0,12.81
01/12/2025,835.0,12.8
01/12/2025,840.0,12.8
01/12/2025,854.0,12.79
01/12/2025,870.0,12.78
01/12/2025,896.0,12.78
01/12/2025,900.0,12.77
01/12/2025,913.0,12.77
01/12/2025,931.0,12.77
01/12/2025,933.0,12.76
01/12/2025,945.0,12.76
01/12/2025,960.0,12.76
01/12/2025,988.0,12.76
01/12/2025,990.0,12.76
01/12/2025,1005.0,12.76
01/12/2025,1022.0,12.76
01/12/2025,1024.0,12.76
01/12/2025,1036.0,12.76
01/12/2025,1050.0,12.76
01/12/2025,1081.0,12.76
01/12/2025,1110.0,12.76
01/12/2025,1128.0,12.76
01/12/2025,1141.0,12.76
01/12/2025,1171.0,12.77
01/12/2025,1172.0,12.77
01/12/2025,1200.0,12.78
01/12/2025,1218.0,12.78
01/12/2025,1261.0,12.8
01/12/2025,1309.0,12.82
01/12/2025,1339.0,12.84
01/12/2025,1353.0,12.84
01/12/2025,1400.0,12.85
01/12/2025,1442.0,12.87
01/12/2025,1446.0,12.87
01/12/2025,1493.0,12.89
01/12/2025,1537.0,12.9
01/12/2025,1582.0,12.91
01/12/2025,1626.0,12.93
01/12/2025,1673.0,12.94
01/12/2025,1718.0,12.96
