data;split;metodo;RMSE;MAE;MAPE_%
2025-11-11;test;NSS+L-BFGS-B;0,13765224426815534;0,1144876205789034;0,8185214422129607
2025-11-11;test;GA→NSS+L-BFGS-B;0,13741282374074865;0,11414119523155547;0,8159322791369358
2025-11-12;test;CubicSpline;0,005339301211967916;0,0037594317531276706;0,027364368123483494
2025-11-12;test;B-Spline (Ridge);0,024475695612708216;0,01935006072109906;0,13849141896686026
2025-11-12;test;NSS+L-BFGS-B;0,13953509174865192;0,11629461823857426;0,8314348312882345
2025-11-12;test;GA→NSS+L-BFGS-B;0,13940619590871892;0,11604169155079304;0,8294853757980373
2025-11-13;test;CubicSpline;0,0054811137398;0,00394630163815789;0,028620813645853473
2025-11-13;test;B-Spline (Ridge);0,02642357874448364;0,020960842936463258;0,1501010545225906
2025-11-13;test;NSS+L-BFGS-B;0,14054009563535708;0,11637904527310836;0,830881261071437
2025-11-13;test;GA→NSS+L-BFGS-B;0,1406795586710824;0,11637550873472836;0,8307111212510191
2025-11-14;test;CubicSpline;0,005179480002474201;0,0037091385092122282;0,026904332878274474
2025-11-14;test;B-Spline (Ridge);0,028619039498830517;0,022955557581659267;0,16452176708399113
2025-11-14;test;NSS+L-BFGS-B;0,13273194387833565;0,10887175142940457;0,7773229961452578
2025-11-14;test;GA→NSS+L-BFGS-B;0,13279079478278358;0,10880811036129677;0,7767331614705981
2025-11-17;test;CubicSpline;0,005238611737034793;0,0038047349362362944;0,02759581267556969
2025-11-17;test;B-Spline (Ridge);0,029313475021550135;0,023261505259690857;0,16688781470120714
2025-11-17;test;NSS+L-BFGS-B;0,1311404996118384;0,10718262896283391;0,7636947059368113
2025-11-17;test;GA→NSS+L-BFGS-B;0,1313629749984665;0,10740999652153066;0,7653482027279737
2025-11-18;test;CubicSpline;0,00529572960460347;0,0038391484056331648;0,02772986963124366
2025-11-18;test;B-Spline (Ridge);0,028847104461694934;0,02279190726707135;0,1634372028013201
2025-11-18;test;NSS+L-BFGS-B;0,1319983686327082;0,10831788823324943;0,7723371063325598
2025-11-18;test;GA→NSS+L-BFGS-B;0,13210707998312268;0,1082353156096982;0,7715810176807634
2025-11-19;test;CubicSpline;0,0056429039494237535;0,0038886274712573183;0,02809159399318492
2025-11-19;test;B-Spline (Ridge);0,029127782287586106;0,022841192415516562;0,16383007907280106
2025-11-19;test;NSS+L-BFGS-B;0,1292348311749229;0,10659897154450017;0,7615641260637527
2025-11-19;test;GA→NSS+L-BFGS-B;0,128993287454568;0,10630248384370371;0,75935757615239
2025-11-21;test;CubicSpline;0,005497193934996606;0,0037415841689833577;0,027091273337416753
2025-11-21;test;B-Spline (Ridge);0,030105888913017468;0,023419226103489264;0,16781980924651746
2025-11-21;test;NSS+L-BFGS-B;0,12896041566310018;0,10606303375162854;0,7563175795759712
2025-11-21;test;GA→NSS+L-BFGS-B;0,12881333988421242;0,10564202313732372;0,7530843084673328
2025-11-24;test;CubicSpline;0,005706735421608765;0,004040962673192785;0,029258416766021367
