dias_uteis;media_global_obs;dp_entre_dias_obs;media_global_CubicSpline;dp_entre_dias_CubicSpline;media_global_B_Spline_(Ridge);dp_entre_dias_B_Spline_(Ridge);media_global_NSSplusL_BFGS_B;dp_entre_dias_NSSplusL_BFGS_B;media_global_GAtoNSSplusL_BFGS_B;dp_entre_dias_GAtoNSSplusL_BFGS_B
51;14,894871700879758;0,006539778614963171;14,894960306717524;0,005871789695376281;14,900914671653359;0,017509096827891972;15,01029081295946;0,03890109133247105;15,010632888920107;0,03928397730605703
52;14,894583333333324;0,006760875058798304;14,89457957693049;0,00613255811197836;14,900112458997976;0,01838859833214357;15,005707251136936;0,03941979724209653;15,0060458836651;0,039797528242999154
53;14,894251710654931;0,007022848879909924;14,894185689798615;0,00644019934770391;14,89928974503541;0,019267014691022526;15,001132032730922;0,039943889346881305;15,00146722782075;0,040316453240320696
54;14,893871072475903;0,007328018303683116;14,893777761510337;0,00679184887930276;14,898446602609967;0,020144162730769053;14,996565146191243;0,040473053510784555;14,996896909851;0,04084044422617209
55;14,893296501885207;0,007635708064820773;14,893354908254064;0,007183434839227253;14,897583104565946;0,021019891764336253;14,99200657998152;0,04100699042284558;14,992334918233484;0,04136920737054949
56;14,892837138667778;0,008017715085585679;14,892916246218231;0,007610168412925916;14,896699323747654;0,021894076968397465;14,987456322579202;0,041545414993846855;14,98778124145959;0,04190246251516219
57;14,89226731601731;0,008545986139129273;14,892460891591263;0,00806695681909031;14,8957953329994;0,022766614312924996;14,982914362475524;0,04208805577103174;14,9832358680344;0,04243994264103416
58;14,89177251780477;0,009055005349606167;14,89198796056157;0,008548715387455991;14,89487120516548;0,023637416660236926;14,978380688175475;0,04263465435622973;14,978698786476722;0,04298139330609077
59;14,891352744030156;0,009546001427108429;14,891496569317594;0,009050584986229085;14,893927013090208;0,024506410648651628;14,973855288197843;0,043184964813495284;14,974169985319019;0,0435265721229154
60;14,890976958525338;0,010027552368207862;14,89098583404775;0,009568074843899956;14,892962829617877;0,025373534314512884;14,969338151075116;0,043738753126533435;14,969649453107433;0,04407524821485688
61;14,890525281618022;0,010347341684947125;14,890454954760923;0,010097184340431721;14,891978727592802;0,026238735104578546;14,964829265353533;0,04429579662830007;14,965137178401768;0,044627201703000975
62;14,889920090885813;0,010590434684276128;14,889903507156916;0,010634534913590933;14,890974779859274;0,02710196836222542;14,960328619593035;0,04485588347414965;14,960633149775436;0,04518222321043979
63;14,889007520481307;0,011195687366942573;14,889331380519263;0,011177249487726222;14,889951059261612;0,027963196039747642;14,955836202367289;0,04541881211092265;14,956137355815489;0,04574011335328065
64;14,88823175883256;0,011592255040338884;14,888738825315432;0,011723049092586129;14,888907638644117;0,02882238569185565;14,951352002263599;0,045984390802266725;14,951649785122589;0,04630068228508434
65;14,887724814388116;0,011932056233406568;14,888126324591738;0,0122707275711178;14,887844590851087;0,029679509622088172;14,946876007882965;0,04655243712000439;14,947170426310974;0,04686374922414072
66;14,887161418330772;0,01245166461935018;14,88749422376995;0,012819933030016573;14,886761988726843;0,03053454418353692;14,942408207840046;0,04712277749352549;14,942699268008463;0,047429142033396265
67;14,886721390168967;0,012707431181353375;14,886842553961097;0,013371117797975613;14,885659905115668;0,031387469228397434;14,937948590763098;0,047695246778363155;14,938236298856443;0,04799669677546879
68;14,88624190348182;0,013031604426494252;14,88617127485284;0,013925014128064829;14,884538412861874;0,032238267585433876;14,933497145294032;0,04826968780858179;14,933781507509824;0,048566257334648574
69;14,88559104582693;0,013637699897609002;14,885480346132827;0,014482434361494797;14,883397584809776;0,03308692468209031;14,929053860088354;0,04884595101075818;14,929334882637074;0,04913767500317426
70;14,884851062467995;0,014220338359136088;14,884769727488694;0,01504421347672508;14,882237493803654;0,03393342820955406;14,924618723815154;0,049423894016825495;14,92489641292015;0,04971080813646664
71;14,884197580645157;0,014542677820949278;14,884039378608115;0,015611165799086762;14,881058212687845;0,03477776779033124;14,920191725157109;0,05000338128576624;14,920466087054535;0,050285521778212106
72;14,883247503840247;0,015241112178061454;14,883289259178717;0,01618405288345156;14,87985981430663;0,035619934798326494;14,915772852810433;0,050584283774028196;14,916043893749176;0,05086168734830167
73;14,88235119047619;0,015826520014814525;14,882519328888161;0,016763559872404844;14,878642371504323;0,03645992208543983;14,911362095484906;0,05116647858304866;14,911629821726473;0,05143918230969605
74;14,88150566436252;0,016313574218595243;14,881729547424088;0,01735027895797363;14,877405957125218;0,0372977238425398;14,906959441903822;0,051749848657568015;14,907223859722333;0,05201788985510801
75;14,88073924731182;0,01687260898958355;14,880919874474152;0,017944698364038652;14,87615064401364;0,038133335417737044;14,902564880804007;0,05233428247876695;14,902825996486053;0,05259769864668068
76;14,87978168202765;0,017685548913274677;14,880090269725992;0,01854719596828081;14,874876505013871;0,03896675320395477;14,898178400935759;0,05291967379242374;14,898436220780384;0,05317850251033046
77;14,878868375576037;0,018312458255839097;14,879240692867278;0,019158036593209297;14,873583612970231;0,03979797450833141;14,893799991062867;0,05350592132982922;14,894054521381463;0,05376020020368058
